,IUI Number,Date,IUI ART Number,ICI Number,ICI ART Number,ID
295,0.0,2022-02-28,10.0,0.0,0.0,351
653,0.0,2022-03-01,10.0,0.0,0.0,351
1013,0.0,2022-03-02,10.0,0.0,0.0,351
1370,0.0,2022-03-03,10.0,0.0,0.0,351
1727,0.0,2022-03-04,10.0,0.0,0.0,351
2086,0.0,2022-03-05,10.0,0.0,0.0,351
2443,0.0,2022-03-06,10.0,0.0,0.0,351
2800,0.0,2022-03-07,10.0,0.0,0.0,351
3157,0.0,2022-03-08,10.0,0.0,0.0,351
3515,0.0,2022-03-09,10.0,0.0,0.0,351
3866,0.0,2022-03-10,10.0,0.0,0.0,351
4217,0.0,2022-03-11,10.0,0.0,0.0,351
4569,0.0,2022-03-12,10.0,0.0,0.0,351
4921,0.0,2022-03-13,10.0,0.0,0.0,351
5271,0.0,2022-03-14,10.0,0.0,0.0,351
5622,0.0,2022-03-15,10.0,0.0,0.0,351
5971,0.0,2022-03-16,10.0,0.0,0.0,351
6326,0.0,2022-03-17,10.0,0.0,0.0,351
6684,0.0,2022-03-18,10.0,0.0,0.0,351
7035,0.0,2022-03-19,10.0,0.0,0.0,351
7388,0.0,2022-03-20,10.0,0.0,0.0,351
7741,0.0,2022-03-21,10.0,0.0,0.0,351
8094,0.0,2022-03-22,10.0,0.0,0.0,351
8444,0.0,2022-03-23,10.0,0.0,0.0,351
8796,0.0,2022-03-24,10.0,0.0,0.0,351
9147,0.0,2022-03-25,10.0,0.0,0.0,351
9500,0.0,2022-03-26,10.0,0.0,0.0,351
9851,0.0,2022-03-27,10.0,0.0,0.0,351
10203,0.0,2022-03-28,10.0,0.0,0.0,351
10555,0.0,2022-03-29,10.0,0.0,0.0,351
10906,0.0,2022-03-30,10.0,0.0,0.0,351
11257,0.0,2022-03-31,10.0,0.0,0.0,351
11607,0.0,2022-04-01,10.0,0.0,0.0,351
11956,0.0,2022-04-02,10.0,0.0,0.0,351
12303,0.0,2022-04-03,10.0,0.0,0.0,351
12650,0.0,2022-04-04,10.0,0.0,0.0,351
12996,0.0,2022-04-05,10.0,0.0,0.0,351
13343,0.0,2022-04-06,10.0,0.0,0.0,351
13693,0.0,2022-04-07,10.0,0.0,0.0,351
14046,0.0,2022-04-08,10.0,0.0,0.0,351
14395,0.0,2022-04-09,10.0,0.0,0.0,351
14751,0.0,2022-04-10,10.0,0.0,0.0,351
15105,0.0,2022-04-11,10.0,0.0,0.0,351
15458,0.0,2022-04-12,10.0,0.0,0.0,351
15813,0.0,2022-04-13,10.0,0.0,0.0,351
16163,0.0,2022-04-14,10.0,0.0,0.0,351
16513,0.0,2022-04-15,10.0,0.0,0.0,351
16862,0.0,2022-04-16,10.0,0.0,0.0,351
17212,0.0,2022-04-17,10.0,0.0,0.0,351
17562,0.0,2022-04-18,10.0,0.0,0.0,351
17913,0.0,2022-04-19,10.0,0.0,0.0,351
18264,0.0,2022-04-20,10.0,0.0,0.0,351
18615,0.0,2022-04-21,10.0,0.0,0.0,351
268,10.0,2022-02-28,0.0,1.0,0.0,406
623,10.0,2022-03-01,0.0,1.0,0.0,406
983,10.0,2022-03-02,0.0,1.0,0.0,406
1339,10.0,2022-03-03,0.0,1.0,0.0,406
1697,10.0,2022-03-04,0.0,1.0,0.0,406
2054,10.0,2022-03-05,0.0,1.0,0.0,406
2410,10.0,2022-03-06,0.0,1.0,0.0,406
2769,10.0,2022-03-07,0.0,1.0,0.0,406
3127,10.0,2022-03-08,0.0,1.0,0.0,406
3483,10.0,2022-03-09,0.0,1.0,0.0,406
3837,10.0,2022-03-10,0.0,1.0,0.0,406
4187,10.0,2022-03-11,0.0,1.0,0.0,406
4539,10.0,2022-03-12,0.0,1.0,0.0,406
4891,10.0,2022-03-13,0.0,1.0,0.0,406
5241,10.0,2022-03-14,0.0,1.0,0.0,406
5593,10.0,2022-03-15,0.0,1.0,0.0,406
5944,10.0,2022-03-16,0.0,1.0,0.0,406
6298,10.0,2022-03-17,0.0,1.0,0.0,406
6655,10.0,2022-03-18,0.0,1.0,0.0,406
7006,10.0,2022-03-19,0.0,1.0,0.0,406
7359,10.0,2022-03-20,0.0,1.0,0.0,406
7712,10.0,2022-03-21,0.0,1.0,0.0,406
8065,10.0,2022-03-22,0.0,1.0,0.0,406
8415,10.0,2022-03-23,0.0,1.0,0.0,406
8766,10.0,2022-03-24,0.0,1.0,0.0,406
9115,10.0,2022-03-25,0.0,1.0,0.0,406
9469,10.0,2022-03-26,0.0,1.0,0.0,406
9823,10.0,2022-03-27,0.0,1.0,0.0,406
10175,10.0,2022-03-28,0.0,1.0,0.0,406
10529,10.0,2022-03-29,0.0,1.0,0.0,406
10883,10.0,2022-03-30,0.0,1.0,0.0,406
11234,10.0,2022-03-31,0.0,1.0,0.0,406
11586,10.0,2022-04-01,0.0,1.0,0.0,406
11933,10.0,2022-04-02,0.0,1.0,0.0,406
12280,10.0,2022-04-03,0.0,1.0,0.0,406
12627,10.0,2022-04-04,0.0,1.0,0.0,406
12973,10.0,2022-04-05,0.0,1.0,0.0,406
13320,10.0,2022-04-06,0.0,1.0,0.0,406
13669,10.0,2022-04-07,0.0,1.0,0.0,406
14022,10.0,2022-04-08,0.0,1.0,0.0,406
14373,10.0,2022-04-09,0.0,1.0,0.0,406
14729,10.0,2022-04-10,0.0,1.0,0.0,406
15083,10.0,2022-04-11,0.0,1.0,0.0,406
15437,10.0,2022-04-12,0.0,1.0,0.0,406
15793,10.0,2022-04-13,0.0,1.0,0.0,406
16143,10.0,2022-04-14,0.0,1.0,0.0,406
16493,10.0,2022-04-15,0.0,1.0,0.0,406
16841,10.0,2022-04-16,0.0,1.0,0.0,406
17191,10.0,2022-04-17,0.0,1.0,0.0,406
17541,10.0,2022-04-18,0.0,1.0,0.0,406
17892,10.0,2022-04-19,0.0,1.0,0.0,406
18244,10.0,2022-04-20,0.0,1.0,0.0,406
18595,10.0,2022-04-21,0.0,1.0,0.0,406
294,0.0,2022-02-28,0.0,6.0,0.0,834
652,0.0,2022-03-01,0.0,6.0,0.0,834
1012,0.0,2022-03-02,0.0,6.0,0.0,834
1368,0.0,2022-03-03,0.0,6.0,0.0,834
1724,0.0,2022-03-04,0.0,6.0,0.0,834
2083,0.0,2022-03-05,0.0,6.0,0.0,834
2440,0.0,2022-03-06,0.0,6.0,0.0,834
2797,0.0,2022-03-07,0.0,6.0,0.0,834
3154,0.0,2022-03-08,0.0,6.0,0.0,834
3512,0.0,2022-03-09,0.0,6.0,0.0,834
3863,0.0,2022-03-10,0.0,6.0,0.0,834
4214,0.0,2022-03-11,0.0,6.0,0.0,834
4566,0.0,2022-03-12,0.0,6.0,0.0,834
4917,0.0,2022-03-13,0.0,6.0,0.0,834
5267,0.0,2022-03-14,0.0,6.0,0.0,834
5619,0.0,2022-03-15,0.0,6.0,0.0,834
5966,0.0,2022-03-16,0.0,6.0,0.0,834
6323,0.0,2022-03-17,0.0,6.0,0.0,834
6680,0.0,2022-03-18,0.0,6.0,0.0,834
7032,0.0,2022-03-19,0.0,6.0,0.0,834
7385,0.0,2022-03-20,0.0,6.0,0.0,834
7738,0.0,2022-03-21,0.0,6.0,0.0,834
8091,0.0,2022-03-22,0.0,6.0,0.0,834
8441,0.0,2022-03-23,0.0,6.0,0.0,834
8793,0.0,2022-03-24,0.0,6.0,0.0,834
9143,0.0,2022-03-25,0.0,6.0,0.0,834
9497,0.0,2022-03-26,0.0,6.0,0.0,834
9848,0.0,2022-03-27,0.0,6.0,0.0,834
10201,0.0,2022-03-28,0.0,6.0,0.0,834
10551,0.0,2022-03-29,0.0,6.0,0.0,834
10904,0.0,2022-03-30,0.0,6.0,0.0,834
11255,0.0,2022-03-31,0.0,6.0,0.0,834
11605,0.0,2022-04-01,0.0,6.0,0.0,834
11954,0.0,2022-04-02,0.0,6.0,0.0,834
12301,0.0,2022-04-03,0.0,6.0,0.0,834
12648,0.0,2022-04-04,0.0,6.0,0.0,834
12994,0.0,2022-04-05,0.0,6.0,0.0,834
13341,0.0,2022-04-06,0.0,6.0,0.0,834
13691,0.0,2022-04-07,0.0,6.0,0.0,834
14044,0.0,2022-04-08,0.0,6.0,0.0,834
14393,0.0,2022-04-09,0.0,6.0,0.0,834
14749,0.0,2022-04-10,0.0,6.0,0.0,834
15103,0.0,2022-04-11,0.0,6.0,0.0,834
15455,0.0,2022-04-12,0.0,6.0,0.0,834
15811,0.0,2022-04-13,0.0,6.0,0.0,834
16160,0.0,2022-04-14,0.0,6.0,0.0,834
16509,0.0,2022-04-15,0.0,6.0,0.0,834
16858,0.0,2022-04-16,0.0,6.0,0.0,834
17208,0.0,2022-04-17,0.0,6.0,0.0,834
17558,0.0,2022-04-18,0.0,6.0,0.0,834
17909,0.0,2022-04-19,0.0,6.0,0.0,834
18260,0.0,2022-04-20,0.0,6.0,0.0,834
18611,0.0,2022-04-21,0.0,6.0,0.0,834
293,10.0,2022-02-28,0.0,0.0,0.0,846
651,10.0,2022-03-01,0.0,0.0,0.0,846
1010,10.0,2022-03-02,0.0,0.0,0.0,846
1366,10.0,2022-03-03,0.0,0.0,0.0,846
1722,10.0,2022-03-04,0.0,0.0,0.0,846
2081,10.0,2022-03-05,0.0,0.0,0.0,846
2438,10.0,2022-03-06,0.0,0.0,0.0,846
2795,10.0,2022-03-07,0.0,0.0,0.0,846
3151,10.0,2022-03-08,0.0,0.0,0.0,846
3509,10.0,2022-03-09,0.0,0.0,0.0,846
3861,10.0,2022-03-10,0.0,0.0,0.0,846
4212,10.0,2022-03-11,0.0,0.0,0.0,846
4564,10.0,2022-03-12,0.0,0.0,0.0,846
4915,10.0,2022-03-13,0.0,0.0,0.0,846
5265,10.0,2022-03-14,0.0,0.0,0.0,846
5617,10.0,2022-03-15,0.0,0.0,0.0,846
5964,10.0,2022-03-16,0.0,0.0,0.0,846
6321,10.0,2022-03-17,0.0,0.0,0.0,846
6678,10.0,2022-03-18,0.0,0.0,0.0,846
7030,10.0,2022-03-19,0.0,0.0,0.0,846
7383,10.0,2022-03-20,0.0,0.0,0.0,846
7736,10.0,2022-03-21,0.0,0.0,0.0,846
8089,10.0,2022-03-22,0.0,0.0,0.0,846
8439,10.0,2022-03-23,0.0,0.0,0.0,846
8791,10.0,2022-03-24,0.0,0.0,0.0,846
9141,10.0,2022-03-25,0.0,0.0,0.0,846
9494,10.0,2022-03-26,0.0,0.0,0.0,846
9845,10.0,2022-03-27,0.0,0.0,0.0,846
10198,10.0,2022-03-28,0.0,0.0,0.0,846
10550,10.0,2022-03-29,0.0,0.0,0.0,846
10902,10.0,2022-03-30,0.0,0.0,0.0,846
11253,10.0,2022-03-31,0.0,0.0,0.0,846
11603,10.0,2022-04-01,0.0,0.0,0.0,846
11952,10.0,2022-04-02,0.0,0.0,0.0,846
12299,10.0,2022-04-03,0.0,0.0,0.0,846
12646,10.0,2022-04-04,0.0,0.0,0.0,846
12992,10.0,2022-04-05,0.0,0.0,0.0,846
13339,10.0,2022-04-06,0.0,0.0,0.0,846
13689,10.0,2022-04-07,0.0,0.0,0.0,846
14043,10.0,2022-04-08,0.0,0.0,0.0,846
14392,10.0,2022-04-09,0.0,0.0,0.0,846
14748,10.0,2022-04-10,0.0,0.0,0.0,846
15102,10.0,2022-04-11,0.0,0.0,0.0,846
15453,10.0,2022-04-12,0.0,0.0,0.0,846
15809,10.0,2022-04-13,0.0,0.0,0.0,846
16158,10.0,2022-04-14,0.0,0.0,0.0,846
16507,10.0,2022-04-15,0.0,0.0,0.0,846
16856,10.0,2022-04-16,0.0,0.0,0.0,846
17206,10.0,2022-04-17,0.0,0.0,0.0,846
17556,10.0,2022-04-18,0.0,0.0,0.0,846
17907,10.0,2022-04-19,0.0,0.0,0.0,846
18259,10.0,2022-04-20,0.0,0.0,0.0,846
18609,10.0,2022-04-21,0.0,0.0,0.0,846
351,0.0,2022-02-28,1.0,0.0,0.0,1862
708,0.0,2022-03-01,1.0,0.0,0.0,1862
1067,0.0,2022-03-02,1.0,0.0,0.0,1862
1425,0.0,2022-03-03,1.0,0.0,0.0,1862
1781,0.0,2022-03-04,1.0,0.0,0.0,1862
2136,0.0,2022-03-05,1.0,0.0,0.0,1862
2493,0.0,2022-03-06,1.0,0.0,0.0,1862
2852,0.0,2022-03-07,1.0,0.0,0.0,1862
3211,0.0,2022-03-08,1.0,0.0,0.0,1862
3567,0.0,2022-03-09,1.0,0.0,0.0,1862
3920,0.0,2022-03-10,1.0,0.0,0.0,1862
4272,0.0,2022-03-11,1.0,0.0,0.0,1862
4624,0.0,2022-03-12,1.0,0.0,0.0,1862
4975,0.0,2022-03-13,1.0,0.0,0.0,1862
5326,0.0,2022-03-14,1.0,0.0,0.0,1862
5678,0.0,2022-03-15,1.0,0.0,0.0,1862
6027,0.0,2022-03-16,1.0,0.0,0.0,1862
6385,0.0,2022-03-17,1.0,0.0,0.0,1862
6738,0.0,2022-03-18,1.0,0.0,0.0,1862
7091,0.0,2022-03-19,1.0,0.0,0.0,1862
7444,0.0,2022-03-20,1.0,0.0,0.0,1862
7797,0.0,2022-03-21,1.0,0.0,0.0,1862
8150,0.0,2022-03-22,1.0,0.0,0.0,1862
8502,0.0,2022-03-23,1.0,0.0,0.0,1862
8852,0.0,2022-03-24,1.0,0.0,0.0,1862
9202,0.0,2022-03-25,1.0,0.0,0.0,1862
9556,0.0,2022-03-26,1.0,0.0,0.0,1862
9910,0.0,2022-03-27,1.0,0.0,0.0,1862
10263,0.0,2022-03-28,1.0,0.0,0.0,1862
10614,0.0,2022-03-29,1.0,0.0,0.0,1862
10965,0.0,2022-03-30,1.0,0.0,0.0,1862
11315,0.0,2022-03-31,1.0,0.0,0.0,1862
11665,0.0,2022-04-01,1.0,0.0,0.0,1862
12012,0.0,2022-04-02,1.0,0.0,0.0,1862
12360,0.0,2022-04-03,1.0,0.0,0.0,1862
12707,0.0,2022-04-04,1.0,0.0,0.0,1862
13054,0.0,2022-04-05,1.0,0.0,0.0,1862
13401,0.0,2022-04-06,1.0,0.0,0.0,1862
13751,0.0,2022-04-07,1.0,0.0,0.0,1862
14104,0.0,2022-04-08,1.0,0.0,0.0,1862
14459,0.0,2022-04-09,1.0,0.0,0.0,1862
14816,0.0,2022-04-10,1.0,0.0,0.0,1862
15170,0.0,2022-04-11,1.0,0.0,0.0,1862
15524,0.0,2022-04-12,1.0,0.0,0.0,1862
15874,0.0,2022-04-13,1.0,0.0,0.0,1862
16225,0.0,2022-04-14,1.0,0.0,0.0,1862
16575,0.0,2022-04-15,1.0,0.0,0.0,1862
16925,0.0,2022-04-16,1.0,0.0,0.0,1862
17275,0.0,2022-04-17,1.0,0.0,0.0,1862
17625,0.0,2022-04-18,1.0,0.0,0.0,1862
17976,0.0,2022-04-19,1.0,0.0,0.0,1862
18326,0.0,2022-04-20,1.0,0.0,0.0,1862
18677,0.0,2022-04-21,1.0,0.0,0.0,1862
350,0.0,2022-02-28,0.0,0.0,0.0,1886
707,0.0,2022-03-01,0.0,0.0,0.0,1886
1066,0.0,2022-03-02,0.0,0.0,0.0,1886
1424,0.0,2022-03-03,0.0,0.0,0.0,1886
1780,0.0,2022-03-04,0.0,0.0,0.0,1886
2135,0.0,2022-03-05,0.0,0.0,0.0,1886
2492,0.0,2022-03-06,0.0,0.0,0.0,1886
2850,0.0,2022-03-07,0.0,0.0,0.0,1886
3209,0.0,2022-03-08,0.0,0.0,0.0,1886
3565,0.0,2022-03-09,0.0,0.0,0.0,1886
3918,0.0,2022-03-10,0.0,0.0,0.0,1886
4270,0.0,2022-03-11,0.0,0.0,0.0,1886
4622,0.0,2022-03-12,0.0,0.0,0.0,1886
4973,0.0,2022-03-13,0.0,0.0,0.0,1886
5324,0.0,2022-03-14,0.0,0.0,0.0,1886
5676,0.0,2022-03-15,0.0,0.0,0.0,1886
6026,0.0,2022-03-16,0.0,0.0,0.0,1886
6384,0.0,2022-03-17,0.0,0.0,0.0,1886
6737,0.0,2022-03-18,0.0,0.0,0.0,1886
7090,0.0,2022-03-19,0.0,0.0,0.0,1886
7443,0.0,2022-03-20,0.0,0.0,0.0,1886
7796,0.0,2022-03-21,0.0,0.0,0.0,1886
8149,0.0,2022-03-22,0.0,0.0,0.0,1886
8501,0.0,2022-03-23,0.0,0.0,0.0,1886
8851,0.0,2022-03-24,0.0,0.0,0.0,1886
9201,0.0,2022-03-25,0.0,0.0,0.0,1886
9555,0.0,2022-03-26,0.0,0.0,0.0,1886
9909,0.0,2022-03-27,0.0,0.0,0.0,1886
10262,0.0,2022-03-28,0.0,0.0,0.0,1886
10613,0.0,2022-03-29,0.0,0.0,0.0,1886
10964,0.0,2022-03-30,0.0,0.0,0.0,1886
11314,0.0,2022-03-31,0.0,0.0,0.0,1886
11664,0.0,2022-04-01,0.0,0.0,0.0,1886
12011,0.0,2022-04-02,0.0,0.0,0.0,1886
12359,0.0,2022-04-03,0.0,0.0,0.0,1886
12706,0.0,2022-04-04,0.0,0.0,0.0,1886
13053,0.0,2022-04-05,0.0,0.0,0.0,1886
13400,0.0,2022-04-06,0.0,0.0,0.0,1886
13750,0.0,2022-04-07,0.0,0.0,0.0,1886
14102,0.0,2022-04-08,0.0,0.0,0.0,1886
14458,0.0,2022-04-09,0.0,0.0,0.0,1886
14815,0.0,2022-04-10,0.0,0.0,0.0,1886
15169,0.0,2022-04-11,0.0,0.0,0.0,1886
15522,0.0,2022-04-12,0.0,0.0,0.0,1886
15873,0.0,2022-04-13,0.0,0.0,0.0,1886
16224,0.0,2022-04-14,0.0,0.0,0.0,1886
16574,0.0,2022-04-15,0.0,0.0,0.0,1886
16924,0.0,2022-04-16,0.0,0.0,0.0,1886
17274,0.0,2022-04-17,0.0,0.0,0.0,1886
17624,0.0,2022-04-18,0.0,0.0,0.0,1886
17975,0.0,2022-04-19,0.0,0.0,0.0,1886
18325,0.0,2022-04-20,0.0,0.0,0.0,1886
18676,0.0,2022-04-21,0.0,0.0,0.0,1886
349,0.0,2022-02-28,0.0,0.0,1.0,1904
706,0.0,2022-03-01,0.0,0.0,1.0,1904
1065,0.0,2022-03-02,0.0,0.0,1.0,1904
1423,0.0,2022-03-03,0.0,0.0,1.0,1904
1778,0.0,2022-03-04,0.0,0.0,1.0,1904
2075,0.0,2022-03-05,0.0,0.0,6.0,1904
2432,0.0,2022-03-06,0.0,0.0,6.0,1904
2790,0.0,2022-03-07,0.0,0.0,6.0,1904
3148,0.0,2022-03-08,0.0,0.0,6.0,1904
3505,0.0,2022-03-09,0.0,0.0,6.0,1904
3857,0.0,2022-03-10,0.0,0.0,6.0,1904
4206,0.0,2022-03-11,0.0,0.0,6.0,1904
4558,0.0,2022-03-12,0.0,0.0,6.0,1904
4910,0.0,2022-03-13,0.0,0.0,6.0,1904
5260,0.0,2022-03-14,0.0,0.0,6.0,1904
5613,0.0,2022-03-15,0.0,0.0,6.0,1904
5961,0.0,2022-03-16,0.0,0.0,6.0,1904
6318,0.0,2022-03-17,0.0,0.0,6.0,1904
6674,0.0,2022-03-18,0.0,0.0,6.0,1904
7026,0.0,2022-03-19,0.0,0.0,6.0,1904
7379,0.0,2022-03-20,0.0,0.0,6.0,1904
7732,0.0,2022-03-21,0.0,0.0,6.0,1904
8086,0.0,2022-03-22,0.0,0.0,6.0,1904
8436,0.0,2022-03-23,0.0,0.0,6.0,1904
8787,0.0,2022-03-24,0.0,0.0,6.0,1904
9137,0.0,2022-03-25,0.0,0.0,6.0,1904
9491,0.0,2022-03-26,0.0,0.0,6.0,1904
9842,0.0,2022-03-27,0.0,0.0,6.0,1904
10195,0.0,2022-03-28,0.0,0.0,6.0,1904
10547,0.0,2022-03-29,0.0,0.0,6.0,1904
10900,0.0,2022-03-30,0.0,0.0,6.0,1904
11251,0.0,2022-03-31,0.0,0.0,6.0,1904
11601,0.0,2022-04-01,0.0,0.0,6.0,1904
11950,0.0,2022-04-02,0.0,0.0,6.0,1904
12297,0.0,2022-04-03,0.0,0.0,6.0,1904
12644,0.0,2022-04-04,0.0,0.0,6.0,1904
12990,0.0,2022-04-05,0.0,0.0,6.0,1904
13337,0.0,2022-04-06,0.0,0.0,6.0,1904
13686,0.0,2022-04-07,0.0,0.0,6.0,1904
14039,0.0,2022-04-08,0.0,0.0,6.0,1904
14389,0.0,2022-04-09,0.0,0.0,6.0,1904
14745,0.0,2022-04-10,0.0,0.0,6.0,1904
15099,0.0,2022-04-11,0.0,0.0,6.0,1904
15450,0.0,2022-04-12,0.0,0.0,6.0,1904
15807,0.0,2022-04-13,0.0,0.0,6.0,1904
16156,0.0,2022-04-14,0.0,0.0,6.0,1904
16506,0.0,2022-04-15,0.0,0.0,6.0,1904
16855,0.0,2022-04-16,0.0,0.0,6.0,1904
17205,0.0,2022-04-17,0.0,0.0,6.0,1904
17555,0.0,2022-04-18,0.0,0.0,6.0,1904
17906,0.0,2022-04-19,0.0,0.0,6.0,1904
18258,0.0,2022-04-20,0.0,0.0,6.0,1904
18675,0.0,2022-04-21,0.0,0.0,1.0,1904
288,,2022-02-28,0.0,7.0,0.0,1964
644,,2022-03-01,0.0,7.0,0.0,1964
1003,,2022-03-02,0.0,7.0,0.0,1964
1359,,2022-03-03,0.0,7.0,0.0,1964
1716,,2022-03-04,0.0,7.0,0.0,1964
2074,,2022-03-05,0.0,7.0,0.0,1964
2431,,2022-03-06,0.0,7.0,0.0,1964
2789,,2022-03-07,0.0,7.0,0.0,1964
3146,,2022-03-08,0.0,7.0,0.0,1964
3504,,2022-03-09,0.0,7.0,0.0,1964
3855,,2022-03-10,0.0,7.0,0.0,1964
4204,,2022-03-11,0.0,7.0,0.0,1964
4556,,2022-03-12,0.0,7.0,0.0,1964
4908,,2022-03-13,0.0,7.0,0.0,1964
5258,,2022-03-14,0.0,7.0,0.0,1964
5610,,2022-03-15,0.0,7.0,0.0,1964
5958,,2022-03-16,0.0,7.0,0.0,1964
6316,0.0,2022-03-17,0.0,7.0,0.0,1964
6672,0.0,2022-03-18,0.0,7.0,0.0,1964
7024,0.0,2022-03-19,0.0,7.0,0.0,1964
7377,0.0,2022-03-20,0.0,7.0,0.0,1964
7730,0.0,2022-03-21,0.0,7.0,0.0,1964
8083,,2022-03-22,0.0,7.0,0.0,1964
8433,,2022-03-23,0.0,7.0,0.0,1964
8784,,2022-03-24,0.0,7.0,0.0,1964
9134,,2022-03-25,0.0,7.0,0.0,1964
9488,,2022-03-26,0.0,7.0,0.0,1964
9839,,2022-03-27,0.0,7.0,0.0,1964
10192,,2022-03-28,0.0,7.0,0.0,1964
10545,,2022-03-29,0.0,7.0,0.0,1964
10897,,2022-03-30,0.0,7.0,0.0,1964
11248,,2022-03-31,0.0,7.0,0.0,1964
11598,,2022-04-01,0.0,6.0,0.0,1964
11947,,2022-04-02,0.0,6.0,0.0,1964
12294,,2022-04-03,0.0,6.0,0.0,1964
12641,,2022-04-04,,6.0,,1964
12987,0.0,2022-04-05,0.0,6.0,0.0,1964
13334,0.0,2022-04-06,0.0,6.0,0.0,1964
13684,0.0,2022-04-07,0.0,6.0,0.0,1964
13817,0.0,2022-04-08,10.0,6.0,8.0,1964
14170,0.0,2022-04-09,10.0,6.0,8.0,1964
14525,0.0,2022-04-10,10.0,6.0,8.0,1964
14882,0.0,2022-04-11,10.0,6.0,8.0,1964
15236,0.0,2022-04-12,10.0,6.0,8.0,1964
15588,0.0,2022-04-13,10.0,6.0,8.0,1964
15939,0.0,2022-04-14,10.0,6.0,8.0,1964
16286,0.0,2022-04-15,10.0,6.0,8.0,1964
16637,0.0,2022-04-16,10.0,6.0,8.0,1964
16987,0.0,2022-04-17,10.0,6.0,8.0,1964
17337,0.0,2022-04-18,10.0,6.0,8.0,1964
17688,,2022-04-19,10.0,6.0,8.0,1964
18040,,2022-04-20,10.0,6.0,8.0,1964
18390,,2022-04-21,10.0,6.0,8.0,1964
347,1.0,2022-02-28,0.0,0.0,0.0,1972
704,1.0,2022-03-01,0.0,0.0,0.0,1972
1063,1.0,2022-03-02,0.0,0.0,0.0,1972
1421,1.0,2022-03-03,0.0,0.0,0.0,1972
346,0.0,2022-02-28,0.0,1.0,0.0,2045
703,0.0,2022-03-01,0.0,1.0,0.0,2045
1062,0.0,2022-03-02,0.0,1.0,0.0,2045
1420,0.0,2022-03-03,0.0,1.0,0.0,2045
1777,0.0,2022-03-04,0.0,1.0,0.0,2045
2133,0.0,2022-03-05,0.0,1.0,0.0,2045
2490,0.0,2022-03-06,0.0,1.0,0.0,2045
2849,0.0,2022-03-07,0.0,1.0,0.0,2045
3208,0.0,2022-03-08,0.0,1.0,0.0,2045
3564,0.0,2022-03-09,0.0,1.0,0.0,2045
3917,0.0,2022-03-10,0.0,1.0,0.0,2045
4269,0.0,2022-03-11,0.0,1.0,0.0,2045
4621,0.0,2022-03-12,0.0,1.0,0.0,2045
4972,0.0,2022-03-13,0.0,1.0,0.0,2045
5323,0.0,2022-03-14,0.0,1.0,0.0,2045
5675,0.0,2022-03-15,0.0,1.0,0.0,2045
6024,0.0,2022-03-16,0.0,1.0,0.0,2045
6382,0.0,2022-03-17,0.0,1.0,0.0,2045
6735,0.0,2022-03-18,0.0,1.0,0.0,2045
7088,0.0,2022-03-19,0.0,1.0,0.0,2045
7441,0.0,2022-03-20,0.0,1.0,0.0,2045
7794,0.0,2022-03-21,0.0,1.0,0.0,2045
8147,0.0,2022-03-22,0.0,1.0,0.0,2045
8499,0.0,2022-03-23,0.0,1.0,0.0,2045
8849,0.0,2022-03-24,0.0,1.0,0.0,2045
9198,0.0,2022-03-25,0.0,1.0,0.0,2045
9553,0.0,2022-03-26,0.0,1.0,0.0,2045
9907,0.0,2022-03-27,0.0,1.0,0.0,2045
10260,0.0,2022-03-28,0.0,1.0,0.0,2045
10611,0.0,2022-03-29,0.0,1.0,0.0,2045
10962,0.0,2022-03-30,0.0,1.0,0.0,2045
11312,0.0,2022-03-31,0.0,1.0,0.0,2045
11662,0.0,2022-04-01,0.0,1.0,0.0,2045
12009,0.0,2022-04-02,0.0,1.0,0.0,2045
12357,0.0,2022-04-03,0.0,1.0,0.0,2045
12704,0.0,2022-04-04,0.0,1.0,0.0,2045
13051,0.0,2022-04-05,0.0,1.0,0.0,2045
13398,0.0,2022-04-06,0.0,1.0,0.0,2045
13748,0.0,2022-04-07,0.0,1.0,0.0,2045
14101,0.0,2022-04-08,0.0,1.0,0.0,2045
14456,0.0,2022-04-09,0.0,1.0,0.0,2045
14813,0.0,2022-04-10,0.0,1.0,0.0,2045
15167,0.0,2022-04-11,0.0,1.0,0.0,2045
15521,0.0,2022-04-12,0.0,1.0,0.0,2045
15872,0.0,2022-04-13,0.0,1.0,0.0,2045
16223,0.0,2022-04-14,0.0,1.0,0.0,2045
16573,0.0,2022-04-15,0.0,1.0,0.0,2045
16923,0.0,2022-04-16,0.0,1.0,0.0,2045
17273,0.0,2022-04-17,0.0,1.0,0.0,2045
17623,0.0,2022-04-18,0.0,1.0,0.0,2045
17974,0.0,2022-04-19,0.0,1.0,0.0,2045
18324,0.0,2022-04-20,0.0,1.0,0.0,2045
18674,0.0,2022-04-21,0.0,1.0,0.0,2045
284,0.0,2022-02-28,10.0,0.0,0.0,2310
641,0.0,2022-03-01,10.0,0.0,0.0,2310
1000,0.0,2022-03-02,10.0,0.0,0.0,2310
1357,0.0,2022-03-03,10.0,0.0,0.0,2310
1714,0.0,2022-03-04,10.0,0.0,0.0,2310
2072,0.0,2022-03-05,10.0,0.0,0.0,2310
2429,0.0,2022-03-06,10.0,0.0,0.0,2310
2786,0.0,2022-03-07,10.0,0.0,0.0,2310
3143,0.0,2022-03-08,10.0,0.0,0.0,2310
3501,0.0,2022-03-09,10.0,0.0,0.0,2310
3852,0.0,2022-03-10,10.0,0.0,0.0,2310
4202,0.0,2022-03-11,10.0,0.0,0.0,2310
