,Date,ID,IUI Number,IUI ART Number,ICI Number,ICI ART Number
152,2/28/22,5493,,,,
153,2/28/22,5500,10,10,9,1
154,2/28/22,5502,0,1,1,0
155,2/28/22,5506,0,0,10,1
156,2/28/22,5511,10,1,10,0
157,2/28/22,5512,,,,
158,2/28/22,5514,8,0,10,0
159,2/28/22,5519,10,10,1,8
160,2/28/22,5523,,,,
161,2/28/22,5527,,,,
162,2/28/22,5528,0,0,0,0
163,2/28/22,5533,10,10,10,8
164,2/28/22,5535,,,,
165,2/28/22,5548,10,10,10,10
166,2/28/22,5551,10,10,7,10
167,2/28/22,5556,,0,0,0
168,2/28/22,5562,,,,
169,2/28/22,5563,10,10,10,10
170,2/28/22,5573,,,,
171,2/28/22,5575,,,,
172,2/28/22,5578,,,,
173,2/28/22,5583,10,10,0,0
174,2/28/22,5585,,0,0,0
175,2/28/22,5586,1,10,8,10
176,2/28/22,5587,,,,
177,2/28/22,5589,,,,
178,2/28/22,5590,1,1,0,0
179,2/28/22,5595,10,10,10,6
180,2/28/22,5596,,,,
181,2/28/22,5612,1,1,0,0
182,2/28/22,5617,1,,,
183,2/28/22,5619,6,8,10,10
184,2/28/22,5621,10,1,0,0
185,2/28/22,5623,1,6,7,10
186,2/28/22,5626,0,0,0,0
187,2/28/22,5633,1,,,
188,2/28/22,5644,1,,,
189,2/28/22,5655,0,0,0,0
190,2/28/22,5662,0,0,0,0
191,2/28/22,5664,0,0,1,0
192,2/28/22,5672,,,,
193,2/28/22,5674,,,,
194,2/28/22,5677,10,1,9,6
195,2/28/22,5684,10,1,1,1
196,2/28/22,5685,10,0,1,1
197,2/28/22,5690,10,1,10,0
198,2/28/22,5698,10,0,0,10
199,2/28/22,5712,10,1,0,0
200,2/28/22,5716,0,0,0,0
201,2/28/22,5718,0,0,0,0
202,2/28/22,5720,0,0,0,0
203,2/28/22,5734,1,,,
204,2/28/22,5735,0,0,0,0
205,2/28/22,5737,,,,
206,2/28/22,5741,10,1,0,0
207,2/28/22,5742,,,,
208,2/28/22,5752,,,,
209,2/28/22,5754,10,0,0,0
210,2/28/22,5757,,,,
211,2/28/22,5759,,0,0,0
212,2/28/22,5765,,0,0,0
213,2/28/22,5770,10,10,0,0
214,2/28/22,5772,,,,
215,2/28/22,5774,,,,
216,2/28/22,5787,10,1,0,0
217,2/28/22,5788,10,0,9,0
218,2/28/22,5793,,0,1,0
219,2/28/22,5794,,,,
220,2/28/22,5795,10,0,0,0
221,2/28/22,5800,0,10,1,10
222,2/28/22,5813,10,0,,0
223,2/28/22,5821,10,0,10,0
224,2/28/22,5833,10,1,10,1
225,2/28/22,5834,9,10,10,10
226,2/28/22,5842,,,,
227,2/28/22,5843,,0,6,1
228,2/28/22,5852,10,10,10,10
229,2/28/22,5854,,,,
230,2/28/22,5855,,,,
231,2/28/22,5858,0,0,0,0
232,2/28/22,5861,0,0,10,10
233,2/28/22,5864,0,0,0,1
234,2/28/22,5866,10,10,10,10
235,2/28/22,5868,0,0,0,0
236,2/28/22,5877,,,,
237,2/28/22,5883,,,,
238,2/28/22,5904,0,0,1,0
239,2/28/22,5905,,,,
240,2/28/22,5906,10,10,1,8
241,2/28/22,5907,1,1,0,0
242,2/28/22,5912,10,8,6,0
243,2/28/22,5919,,,,
244,2/28/22,5921,0,0,0,0
245,2/28/22,5924,,,,
246,2/28/22,5930,0,1,0,0
247,2/28/22,5931,10,10,0,0
248,2/28/22,5972,0,0,10,0
249,2/28/22,6004,,,,
250,2/28/22,6007,10,10,10,1
251,2/28/22,6008,10,0,10,1
252,2/28/22,6016,,,,
253,2/28/22,6022,,,,
254,2/28/22,6025,1,1,1,0
255,2/28/22,6027,,,,
256,2/28/22,6033,10,1,10,0
257,2/28/22,6036,,,,
258,2/28/22,6039,10,1,0,
259,2/28/22,6042,,0,0,0
260,2/28/22,6047,10,10,10,0
261,2/28/22,6049,,,,
262,2/28/22,6056,,,1,
263,2/28/22,6059,10,8,10,0
264,2/28/22,6064,,,,
265,2/28/22,6065,,1,0,0
266,2/28/22,6066,1,,1,
267,2/28/22,6067,10,1,10,6
268,2/28/22,6071,10,0,0,0
269,2/28/22,6073,1,,7,
270,2/28/22,6074,,1,,1
271,2/28/22,6075,1,0,7,0
272,2/28/22,6077,,,,
273,2/28/22,6079,10,0,1,0
274,2/28/22,6087,10,10,10,10
275,2/28/22,6098,0,0,0,0
276,2/28/22,6099,,,,
277,2/28/22,6101,10,6,10,1
278,2/28/22,6105,10,0,0,0
279,2/28/22,6108,,,,
280,2/28/22,6118,,,,
281,2/28/22,6120,,,,
282,2/28/22,6123,,,,
283,2/28/22,6127,,,,
284,2/28/22,6129,,,,
285,2/28/22,6132,,,,
286,2/28/22,6134,1,0,0,0
287,2/28/22,6137,0,0,0,0
288,2/28/22,6141,,,,
289,2/28/22,6142,,,,
290,2/28/22,6146,10,,,
291,2/28/22,6151,,,,
292,2/28/22,6152,1,10,,0
293,2/28/22,6156,0,0,0,0
294,2/28/22,6162,,,,
295,2/28/22,6163,,,,
296,2/28/22,6166,10,1,0,0
297,2/28/22,6171,1,1,10,8
298,2/28/22,6174,,,,
299,2/28/22,6176,,,,
300,2/28/22,6177,,,,
301,2/28/22,6179,0,0,0,0
302,2/28/22,6182,,,,
303,2/28/22,6184,0,1,0,0
304,2/28/22,6188,7,,,6
305,2/28/22,6189,10,10,0,0
306,2/28/22,6190,,,,
307,2/28/22,6191,10,,,
308,2/28/22,6194,,,,
309,2/28/22,6197,,,,
310,2/28/22,6199,10,0,0,0
311,2/28/22,6203,10,10,6,1
312,2/28/22,6207,1,0,1,0
313,2/28/22,6213,10,10,0,8
314,2/28/22,6222,,,,
315,2/28/22,6224,0,0,1,0
316,2/28/22,6228,10,1,9,1
317,2/28/22,6230,,0,0,0
318,2/28/22,6232,,,,
319,2/28/22,6239,,,,
320,2/28/22,6240,,0,0,0
321,2/28/22,6243,,,,
322,2/28/22,6248,,1,10,1
323,2/28/22,6258,1,0,0,0
324,2/28/22,6259,,,,
325,2/28/22,6261,,,,
326,2/28/22,6263,,,,
327,2/28/22,6266,,,,
328,2/28/22,6269,,,,
329,2/28/22,6276,,,,
330,2/28/22,6277,,,,
331,2/28/22,6279,,,,
332,2/28/22,6280,10,6,1,10
333,2/28/22,6281,10,10,10,10
334,2/28/22,6283,,1,,10
335,2/28/22,6288,0,0,0,0
336,2/28/22,6289,,0,6,10
337,2/28/22,6292,0,0,0,0
338,2/28/22,6293,,,,
339,2/28/22,6294,10,6,1,1
340,2/28/22,6296,1,1,,1
341,2/28/22,6299,1,1,0,0
342,2/28/22,6300,,,,
343,2/28/22,6302,,,,
344,2/28/22,6305,8,6,0,0
345,2/28/22,6307,0,0,0,0
346,2/28/22,6308,0,0,0,0
347,2/28/22,6316,1,1,0,0
348,2/28/22,6321,1,0,0,0
349,2/28/22,6322,,0,0,0
350,2/28/22,6325,,,,
351,2/28/22,6327,10,0,0,0
352,2/28/22,6331,10,10,10,1
353,2/28/22,6333,10,1,0,0
354,2/28/22,6334,,,,
355,2/28/22,6336,1,0,1,0
356,2/28/22,6338,,,,
357,2/28/22,6341,10,0,0,0
358,2/28/22,6342,,,,
359,2/28/22,6344,10,1,0,0
360,2/28/22,6345,,,,
361,2/28/22,6346,,,,
362,2/28/22,6347,10,6,0,0
363,2/28/22,6351,8,1,0,0
364,2/28/22,6352,,,,
365,2/28/22,6354,,,,
366,2/28/22,6356,,,,
367,2/28/22,6357,10,,10,
368,2/28/22,6359,,,,
369,2/28/22,6362,,,,
370,2/28/22,6363,,,,
371,2/28/22,6364,,,,
372,2/28/22,6367,,,,
373,2/28/22,6371,,,,
374,2/28/22,6372,,,,
375,2/28/22,6373,,,,
376,2/28/22,6374,,,,
377,2/28/22,6377,,6,10,8
378,2/28/22,6406,,,,1
379,2/28/22,6407,,,1,1
380,2/28/22,6408,,,,
381,2/28/22,6410,,,,
382,2/28/22,6414,8,,10,6
383,2/28/22,6416,,,,
384,2/28/22,6419,,,,
385,2/28/22,6424,7,1,10,8
386,2/28/22,6426,10,0,10,10
